session_key,driver_number,team_name
9104,11,Red Bull Racing
9104,14,Aston Martin
9104,16,Ferrari
9104,18,Aston Martin
9104,20,Haas F1 Team
9104,21,AlphaTauri
9104,22,AlphaTauri
9104,23,Williams
9104,24,Alfa Romeo
9104,27,Haas F1 Team
9104,31,Alpine
9104,44,Mercedes
9104,55,Ferrari
9104,63,Mercedes
9104,77,Alfa Romeo
9104,81,McLaren
9105,1,Red Bull Racing
9105,2,Williams
9105,4,McLaren
9105,10,Alpine
9105,11,Red Bull Racing
9105,14,Aston Martin
9105,16,Ferrari
9105,18,Aston Martin
9105,20,Haas F1 Team
9105,21,AlphaTauri
9105,22,AlphaTauri
9105,23,Williams
9105,24,Alfa Romeo
9105,27,Haas F1 Team
9105,31,Alpine
9105,44,Mercedes
9105,55,Ferrari
9105,63,Mercedes
9105,77,Alfa Romeo
9105,81,McLaren
9106,1,Red Bull Racing
9106,2,Williams
9106,4,McLaren
9106,10,Alpine
9106,11,Red Bull Racing
9106,14,Aston Martin
9106,16,Ferrari
9106,18,Aston Martin
9106,20,Haas F1 Team
9106,21,AlphaTauri
9106,22,AlphaTauri
9106,23,Williams
9106,24,Alfa Romeo
9106,27,Haas F1 Team
9106,31,Alpine
9106,44,Mercedes
9106,55,Ferrari
9106,63,Mercedes
9106,77,Alfa Romeo
9106,81,McLaren
9110,1,Red Bull Racing
9110,2,Williams
9110,4,McLaren
9110,10,Alpine
9110,11,Red Bull Racing
9110,14,Aston Martin
9110,16,Ferrari
9110,18,Aston Martin
9110,20,Haas F1 Team
9110,21,AlphaTauri
9110,22,AlphaTauri
9110,23,Williams
9110,24,Alfa Romeo
9110,27,Haas F1 Team
9110,31,Alpine
9110,44,Mercedes
9110,55,Ferrari
9110,63,Mercedes
9110,77,Alfa Romeo
9110,81,McLaren
9111,1,Red Bull Racing
9111,2,Williams
9111,4,McLaren
9111,10,Alpine
9111,11,Red Bull Racing
9111,14,Aston Martin
9111,16,Ferrari
9111,18,Aston Martin
9111,20,Haas F1 Team
9111,21,AlphaTauri
9111,22,AlphaTauri
9111,23,Williams
9111,24,Alfa Romeo
9111,27,Haas F1 Team
9111,31,Alpine
9111,44,Mercedes
9111,55,Ferrari
9111,63,Mercedes
9111,77,Alfa Romeo
9111,81,McLaren
9112,1,Red Bull Racing
9112,2,Williams
9112,4,McLaren
9112,10,Alpine
9112,11,Red Bull Racing
9112,14,Aston Martin
9112,16,Ferrari
9112,18,Aston Martin
9112,20,Haas F1 Team
9112,21,AlphaTauri
9112,22,AlphaTauri
9112,23,Williams
9112,24,Alfa Romeo
9112,27,Haas F1 Team
9112,31,Alpine
9112,44,Mercedes
9112,55,Ferrari
9112,63,Mercedes
9112,77,Alfa Romeo
9112,81,McLaren
9282,1,Red Bull Racing
9282,2,Williams
9282,4,McLaren
9282,10,Alpine
9282,11,Red Bull Racing
9282,14,Aston Martin
9282,16,Ferrari
9282,18,Aston Martin
9282,20,Haas F1 Team
9282,21,AlphaTauri
9282,22,AlphaTauri
9282,23,Williams
9282,24,Alfa Romeo
9282,27,Haas F1 Team
9282,31,Alpine
9282,44,Mercedes
9282,55,Ferrari
9282,63,Mercedes
9282,77,Alfa Romeo
9282,81,McLaren
9117,1,Red Bull Racing
9117,2,Williams
9117,4,McLaren
9117,10,Alpine
9117,11,Red Bull Racing
9117,14,Aston Martin
9117,16,Ferrari
9117,18,Aston Martin
9117,20,Haas F1 Team
9117,21,AlphaTauri
9117,22,AlphaTauri
9117,23,Williams
9117,24,Alfa Romeo
9117,27,Haas F1 Team
9117,31,Alpine
9117,44,Mercedes
9117,55,Ferrari
9117,63,Mercedes
9117,77,Alfa Romeo
9117,81,McLaren
9118,1,Red Bull Racing
9118,2,Williams
9118,4,McLaren
9118,10,Alpine
9118,11,Red Bull Racing
9118,14,Aston Martin
9118,16,Ferrari
9118,18,Aston Martin
9118,20,Haas F1 Team
9118,21,AlphaTauri
9118,22,AlphaTauri
9118,23,Williams
9118,24,Alfa Romeo
9118,27,Haas F1 Team
9118,31,Alpine
9118,44,Mercedes
9118,55,Ferrari
9118,63,Mercedes
9118,77,Alfa Romeo
9118,81,McLaren
9119,1,Red Bull Racing
9119,2,Williams
9119,4,McLaren
9119,10,Alpine
9119,11,Red Bull Racing
9119,14,Aston Martin
9119,16,Ferrari
9119,18,Aston Martin
9119,20,Haas F1 Team
9119,21,AlphaTauri
9119,22,AlphaTauri
9119,23,Williams
9119,24,Alfa Romeo
9119,27,Haas F1 Team
9119,31,Alpine
9119,44,Mercedes
9119,55,Ferrari
9119,63,Mercedes
9119,77,Alfa Romeo
9119,81,McLaren
9120,1,Red Bull Racing
9120,2,Williams
9120,4,McLaren
9120,10,Alpine
9120,11,Red Bull Racing
9120,14,Aston Martin
9120,16,Ferrari
9120,18,Aston Martin
9120,20,Haas F1 Team
9120,21,AlphaTauri
9120,22,AlphaTauri
9120,23,Williams
9120,24,Alfa Romeo
9120,27,Haas F1 Team
9120,31,Alpine
9120,44,Mercedes
9120,55,Ferrari
9120,63,Mercedes
9120,77,Alfa Romeo
9120,81,McLaren
9121,1,Red Bull Racing
9121,2,Williams
9121,4,McLaren
9121,10,Alpine
9121,11,Red Bull Racing
9121,14,Aston Martin
9121,16,Ferrari
9121,18,Aston Martin
9121,20,Haas F1 Team
9121,21,AlphaTauri
9121,22,AlphaTauri
9121,23,Williams
9121,24,Alfa Romeo
9121,27,Haas F1 Team
9121,31,Alpine
9121,44,Mercedes
9121,55,Ferrari
9121,63,Mercedes
9121,77,Alfa Romeo
9121,81,McLaren
9122,1,Red Bull Racing
9122,2,Williams
9122,4,McLaren
9122,10,Alpine
9122,11,Red Bull Racing
9122,14,Aston Martin
9122,16,Ferrari
9122,18,Aston Martin
9122,20,Haas F1 Team
9122,21,AlphaTauri
9122,22,AlphaTauri
9122,23,Williams
9122,24,Alfa Romeo
9122,27,Haas F1 Team
9122,31,Alpine
9122,44,Mercedes
9122,55,Ferrari
9122,63,Mercedes
9122,77,Alfa Romeo
9122,81,McLaren
9126,1,Red Bull Racing
9126,2,Williams
9126,4,McLaren
9126,10,Alpine
9126,11,Red Bull Racing
9126,14,Aston Martin
9126,16,Ferrari
9126,18,Aston Martin
9126,20,Haas F1 Team
9126,21,AlphaTauri
9126,22,AlphaTauri
9126,23,Williams
9126,24,Alfa Romeo
9126,27,Haas F1 Team
9126,31,Alpine
9126,44,Mercedes
9126,55,Ferrari
9126,63,Mercedes
9126,77,Alfa Romeo
9126,81,McLaren
9223,1,Red Bull Racing
9223,2,Williams
9223,3,AlphaTauri
9223,4,McLaren
9223,10,Alpine
9223,11,Red Bull Racing
9223,14,Aston Martin
9223,16,Ferrari
9223,18,Aston Martin
9223,20,Haas F1 Team
9223,22,AlphaTauri
9223,23,Williams
9223,24,Alfa Romeo
9223,27,Haas F1 Team
9223,31,Alpine
9223,44,Mercedes
9223,55,Ferrari
9223,63,Mercedes
9223,77,Alfa Romeo
9223,81,McLaren
9223,5,
9223,6,
9223,7,
9223,8,
9223,9,
9223,12,
9223,15,
9223,17,
9223,19,
9223,21,AlphaTauri
9223,25,
9223,26,
9223,28,
9223,29,
9223,30,
9127,1,Red Bull Racing
9127,2,Williams
9127,3,AlphaTauri
9127,4,McLaren
9127,10,Alpine
9127,11,Red Bull Racing
9127,14,Aston Martin
9127,16,Ferrari
9127,18,Aston Martin
9127,20,Haas F1 Team
9127,22,AlphaTauri
9127,23,Williams
9127,24,Alfa Romeo
