session_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap
7953,24,9,2023-03-05 15:17:14.235000+00:00,101.526,31.73,44.682,25.114,223,235,False
7953,10,9,2023-03-05 15:17:14.735000+00:00,104.201,31.843,44.538,27.82,226,233,False
7953,21,9,2023-03-05 15:17:15.548000+00:00,101.573,31.817,44.54,25.216,228,241,False
7953,20,9,2023-03-05 15:17:17.751000+00:00,101.278,32.161,44.196,24.921,226,250,False
7953,1,10,2023-03-05 15:18:22.359000+00:00,98.369,31.361,42.884,24.124,230,242,False
7953,16,10,2023-03-05 15:18:28.734000+00:00,99.073,31.51,43.274,24.289,225,242,False
7953,11,10,2023-03-05 15:18:30.406000+00:00,99.085,31.434,43.27,24.381,232,242,False
7953,55,10,2023-03-05 15:18:35.141000+00:00,100.102,31.764,43.676,24.662,225,244,False
7953,44,10,2023-03-05 15:18:38.156000+00:00,100.289,31.649,43.985,24.655,230,248,False
7953,63,10,2023-03-05 15:18:39.281000+00:00,100.532,31.699,44.074,24.759,229,256,False
7953,14,10,2023-03-05 15:18:40.218000+00:00,100.203,31.505,43.905,24.793,225,243,False
7953,18,10,2023-03-05 15:18:41.530000+00:00,100.192,31.714,43.754,24.724,228,246,False
7953,77,10,2023-03-05 15:18:44.718000+00:00,100.676,31.929,43.981,24.766,227,238,False
7953,31,10,2023-03-05 15:18:47.265000+00:00,100.858,31.918,43.957,24.983,227,244,False
7953,23,10,2023-03-05 15:18:49.546000+00:00,101.119,31.855,44.432,24.832,228,247,False
7953,4,10,2023-03-05 15:18:50.530000+00:00,103.521,31.762,44.097,27.662,,244,False
7953,2,10,2023-03-05 15:18:51.546000+00:00,101.133,31.594,44.481,25.058,229,250,False
7953,22,10,2023-03-05 15:18:52.499000+00:00,103.749,31.649,44.285,27.815,224,253,False
7953,27,10,2023-03-05 15:18:54.436000+00:00,102.252,32.095,44.673,25.484,227,246,False
7953,81,10,2023-03-05 15:18:55.296000+00:00,101.584,31.779,44.617,25.188,225,245,False
7953,24,10,2023-03-05 15:18:55.811000+00:00,101.743,31.833,44.623,25.287,226,242,False
7953,21,10,2023-03-05 15:18:57.046000+00:00,101.666,31.78,44.807,25.079,230,238,False
7953,10,10,2023-03-05 15:18:58.905000+00:00,121.262,54.574,42.66,24.028,227,245,True
7953,20,10,2023-03-05 15:18:59.015000+00:00,101.719,32.289,44.441,24.989,225,249,False
7953,1,11,2023-03-05 15:20:00.685000+00:00,98.483,31.342,42.978,24.163,,239,False
7953,16,11,2023-03-05 15:20:07.780000+00:00,99.212,31.556,43.28,24.376,226,242,False
7953,11,11,2023-03-05 15:20:09.451000+00:00,99.249,31.632,43.188,24.429,,248,False
7953,55,11,2023-03-05 15:20:15.232000+00:00,100.507,31.836,43.996,24.675,226,240,False
7953,44,11,2023-03-05 15:20:18.482000+00:00,100.752,31.823,44.205,24.724,,243,False
7953,63,11,2023-03-05 15:20:19.810000+00:00,101.085,31.772,44.52,24.793,224,251,False
7953,14,11,2023-03-05 15:20:20.404000+00:00,101.147,31.657,44.321,25.169,,242,False
7953,18,11,2023-03-05 15:20:21.732000+00:00,100.923,31.837,44.225,24.861,227,238,False
7953,77,11,2023-03-05 15:20:25.419000+00:00,103.269,31.926,43.791,27.552,224,251,False
7953,31,11,2023-03-05 15:20:28.122000+00:00,101.035,32.006,44.056,24.973,,245,False
7953,23,11,2023-03-05 15:20:30.653000+00:00,103.948,31.953,44.361,27.634,,251,False
7953,2,11,2023-03-05 15:20:32.591000+00:00,101.532,32.122,44.37,25.04,,247,False
7953,4,11,2023-03-05 15:20:34.028000+00:00,129.886,61.49,43.939,24.457,227,236,True
7953,22,11,2023-03-05 15:20:36.231000+00:00,119.843,53.357,42.423,24.063,226,255,True
7953,27,11,2023-03-05 15:20:36.669000+00:00,106.79,32.73,45.759,28.301,,241,False
7953,81,11,2023-03-05 15:20:36.857000+00:00,101.352,31.894,44.557,24.901,222,240,False
7953,24,11,2023-03-05 15:20:37.497000+00:00,102.108,32.197,44.947,24.964,224,247,False
7953,21,11,2023-03-05 15:20:38.778000+00:00,105.46,32.072,44.715,28.673,229,245,False
7953,20,11,2023-03-05 15:20:40.669000+00:00,102.049,32.334,44.458,25.257,228,250,False
7953,10,11,2023-03-05 15:21:00.247000+00:00,98.762,31.455,43.098,24.209,,243,False
7953,1,12,2023-03-05 15:21:39.152000+00:00,98.591,31.408,42.951,24.232,231,241,False
7953,16,12,2023-03-05 15:21:47.043000+00:00,99.489,31.597,43.406,24.486,229,254,False
7953,11,12,2023-03-05 15:21:48.730000+00:00,99.197,31.527,43.252,24.418,,253,False
7953,55,12,2023-03-05 15:21:55.730000+00:00,100.52,31.776,44.006,24.738,,239,False
7953,44,12,2023-03-05 15:21:59.214000+00:00,103.336,31.821,44.259,27.256,231,249,False
7953,63,12,2023-03-05 15:22:00.902000+00:00,101.112,32.023,44.122,24.967,223,251,False
7953,14,12,2023-03-05 15:22:01.621000+00:00,100.934,31.789,44.062,25.083,227,245,False
7953,18,12,2023-03-05 15:22:02.621000+00:00,101.039,31.929,44.125,24.985,,245,False
7953,77,12,2023-03-05 15:22:08.667000+00:00,119.45,52.921,42.49,24.039,228,252,True
7953,31,12,2023-03-05 15:22:09.167000+00:00,103.787,32.034,44.101,27.652,225,247,False
7953,2,12,2023-03-05 15:22:14.198000+00:00,103.88,32.031,44.118,27.731,,251,False
7953,23,12,2023-03-05 15:22:14.573000+00:00,119.445,52.452,42.947,24.046,233,239,True
7953,81,12,2023-03-05 15:22:18.183000+00:00,101.156,32.1,44.235,24.821,224,243,False
7953,24,12,2023-03-05 15:22:19.620000+00:00,103.87,32.015,44.178,27.677,229,251,False
7953,20,12,2023-03-05 15:22:22.698000+00:00,101.345,32.185,44.197,24.963,230,250,False
7953,27,12,2023-03-05 15:22:23.370000+00:00,122.579,54.5,43.599,24.48,213,245,True
7953,21,12,2023-03-05 15:22:24.198000+00:00,121.184,53.538,43.459,24.187,231,247,True
7953,22,12,2023-03-05 15:22:36.042000+00:00,99.143,31.623,43.14,24.38,,244,False
7953,10,12,2023-03-05 15:22:38.886000+00:00,98.928,31.57,43.066,24.292,,242,False
7953,4,12,2023-03-05 15:22:43.948000+00:00,99.314,31.825,43.134,24.355,228,241,False
7953,1,13,2023-03-05 15:23:17.760000+00:00,98.482,31.389,42.907,24.186,230,241,False
7953,16,13,2023-03-05 15:23:26.478000+00:00,102.068,31.703,43.481,26.884,230,253,False
7953,11,13,2023-03-05 15:23:27.932000+00:00,99.336,31.57,43.298,24.468,,248,False
7953,55,13,2023-03-05 15:23:36.244000+00:00,103.31,31.93,43.823,27.557,225,250,False
7953,63,13,2023-03-05 15:23:41.931000+00:00,104.691,32.276,44.91,27.505,232,253,False
7953,14,13,2023-03-05 15:23:42.447000+00:00,100.341,31.823,43.946,24.572,226,246,False
7953,44,13,2023-03-05 15:23:42.603000+00:00,119.179,52.819,42.559,23.801,230,252,True
7953,18,13,2023-03-05 15:23:43.666000+00:00,101.12,31.882,44.192,25.046,228,247,False
7953,31,13,2023-03-05 15:23:52.837000+00:00,120.381,53.451,42.674,24.256,228,246,True
7953,2,13,2023-03-05 15:23:57.962000+00:00,120.255,53.407,42.646,24.202,233,246,True
7953,81,13,2023-03-05 15:23:59.384000+00:00,122.071,34.839,53.536,33.696,151,202,False
7953,24,13,2023-03-05 15:24:03.368000+00:00,122.101,54.117,43.596,24.388,231,251,True
7953,20,13,2023-03-05 15:24:04.071000+00:00,101.654,32.197,44.455,25.002,229,247,False
7953,77,13,2023-03-05 15:24:08.134000+00:00,98.03,31.273,42.523,24.234,227,252,False
7953,23,13,2023-03-05 15:24:14.087000+00:00,98.649,31.512,42.949,24.188,234,237,False
7953,22,13,2023-03-05 15:24:15.182000+00:00,99.471,31.607,43.29,24.574,232,249,False
