session_key,driver_number,position,date
9181,2,17,2023-10-29 21:16:55.790000+00:00
9181,77,14,2023-10-29 21:17:01.071000+00:00
9181,24,13,2023-10-29 21:17:01.071000+00:00
9181,77,13,2023-10-29 21:17:03.493000+00:00
9181,24,14,2023-10-29 21:17:03.493000+00:00
9181,2,18,2023-10-29 21:17:04.446000+00:00
9181,18,17,2023-10-29 21:17:04.446000+00:00
9181,77,12,2023-10-29 21:17:17.884000+00:00
9181,10,13,2023-10-29 21:17:17.884000+00:00
9181,24,15,2023-10-29 21:17:18.243000+00:00
9181,4,14,2023-10-29 21:17:18.243000+00:00
9181,14,17,2023-10-29 21:17:22.274000+00:00
9181,18,16,2023-10-29 21:17:22.274000+00:00
9181,77,13,2023-10-29 21:17:24.352000+00:00
9181,10,12,2023-10-29 21:17:24.352000+00:00
9181,24,16,2023-10-29 21:18:32.554000+00:00
9181,18,15,2023-10-29 21:18:32.554000+00:00
9181,24,15,2023-10-29 21:18:32.585000+00:00
9181,18,16,2023-10-29 21:18:32.585000+00:00
9181,24,16,2023-10-29 21:18:40.335000+00:00
9181,18,15,2023-10-29 21:18:40.335000+00:00
9181,81,8,2023-10-29 21:21:14.301000+00:00
9181,22,7,2023-10-29 21:21:14.301000+00:00
9181,81,7,2023-10-29 21:21:22.114000+00:00
9181,22,8,2023-10-29 21:21:22.114000+00:00
9181,16,3,2023-10-29 21:22:13.425000+00:00
9181,44,2,2023-10-29 21:22:13.425000+00:00
9181,77,14,2023-10-29 21:23:54.642000+00:00
9181,4,13,2023-10-29 21:23:54.642000+00:00
9181,14,18,2023-10-29 21:24:06.048000+00:00
9181,2,17,2023-10-29 21:24:06.048000+00:00
9181,24,17,2023-10-29 21:26:55.655000+00:00
9181,2,16,2023-10-29 21:26:55.655000+00:00
9181,10,13,2023-10-29 21:29:18.168000+00:00
9181,4,12,2023-10-29 21:29:18.168000+00:00
9181,31,12,2023-10-29 21:30:43.291000+00:00
9181,4,11,2023-10-29 21:30:43.291000+00:00
9181,24,18,2023-10-29 21:31:00.729000+00:00
9181,14,17,2023-10-29 21:31:00.729000+00:00
9181,27,11,2023-10-29 21:32:07.196000+00:00
9181,4,10,2023-10-29 21:32:07.196000+00:00
9181,24,17,2023-10-29 21:33:28.164000+00:00
9181,14,18,2023-10-29 21:33:28.164000+00:00
9181,23,8,2023-10-29 21:35:00.631000+00:00
9181,22,9,2023-10-29 21:35:00.631000+00:00
9181,4,9,2023-10-29 21:35:00.959000+00:00
9181,22,10,2023-10-29 21:35:00.959000+00:00
9181,27,10,2023-10-29 21:35:03.552000+00:00
9181,22,11,2023-10-29 21:35:03.552000+00:00
9181,31,11,2023-10-29 21:35:04.021000+00:00
9181,22,12,2023-10-29 21:35:04.021000+00:00
9181,10,12,2023-10-29 21:35:04.584000+00:00
9181,22,13,2023-10-29 21:35:04.584000+00:00
9181,77,13,2023-10-29 21:35:05.287000+00:00
9181,22,14,2023-10-29 21:35:05.287000+00:00
9181,22,15,2023-10-29 21:35:06.474000+00:00
9181,18,14,2023-10-29 21:35:06.474000+00:00
9181,22,16,2023-10-29 21:35:09.943000+00:00
9181,2,15,2023-10-29 21:35:09.943000+00:00
9181,23,9,2023-10-29 21:35:11.865000+00:00
9181,4,8,2023-10-29 21:35:11.865000+00:00
9181,22,15,2023-10-29 21:35:13.084000+00:00
9181,2,16,2023-10-29 21:35:13.084000+00:00
9181,22,16,2023-10-29 21:35:16.365000+00:00
9181,2,15,2023-10-29 21:35:16.365000+00:00
9181,77,12,2023-10-29 21:39:09.970000+00:00
9181,10,13,2023-10-29 21:39:09.970000+00:00
9181,77,13,2023-10-29 21:39:16.861000+00:00
9181,10,12,2023-10-29 21:39:16.861000+00:00
9181,77,12,2023-10-29 21:39:26.220000+00:00
9181,10,13,2023-10-29 21:39:26.220000+00:00
9181,77,13,2023-10-29 21:39:26.282000+00:00
9181,10,12,2023-10-29 21:39:26.282000+00:00
9181,77,12,2023-10-29 21:39:28.298000+00:00
9181,10,13,2023-10-29 21:39:28.298000+00:00
9181,77,13,2023-10-29 21:39:28.360000+00:00
9181,10,12,2023-10-29 21:39:28.360000+00:00
9181,81,8,2023-10-29 21:44:49.073000+00:00
9181,4,7,2023-10-29 21:44:49.073000+00:00
9181,3,7,2023-10-29 21:50:28.771000+00:00
9181,4,6,2023-10-29 21:50:28.771000+00:00
9181,27,11,2023-10-29 21:58:43.918000+00:00
9181,31,10,2023-10-29 21:58:43.918000+00:00
9181,10,11,2023-10-29 21:59:39.433000+00:00
9181,27,12,2023-10-29 21:59:39.433000+00:00
9181,2,14,2023-10-29 21:59:53.183000+00:00
9181,18,15,2023-10-29 21:59:53.183000+00:00
9181,22,15,2023-10-29 21:59:53.433000+00:00
9181,18,16,2023-10-29 21:59:53.433000+00:00
9181,24,16,2023-10-29 22:00:01.339000+00:00
9181,18,17,2023-10-29 22:00:01.339000+00:00
9181,22,14,2023-10-29 22:00:13.354000+00:00
9181,2,15,2023-10-29 22:00:13.354000+00:00
9181,22,15,2023-10-29 22:00:13.510000+00:00
9181,2,14,2023-10-29 22:00:13.510000+00:00
9181,63,6,2023-10-29 22:00:13.604000+00:00
9181,4,5,2023-10-29 22:00:13.604000+00:00
9181,77,14,2023-10-29 22:00:15.229000+00:00
9181,2,13,2023-10-29 22:00:15.229000+00:00
9181,77,15,2023-10-29 22:00:22.885000+00:00
9181,22,14,2023-10-29 22:00:22.885000+00:00
9181,27,13,2023-10-29 22:05:00.365000+00:00
9181,2,12,2023-10-29 22:05:00.365000+00:00
9181,27,14,2023-10-29 22:05:53.036000+00:00
9181,22,13,2023-10-29 22:05:53.036000+00:00
9181,27,13,2023-10-29 22:05:55.192000+00:00
9181,22,14,2023-10-29 22:05:55.192000+00:00
9181,27,14,2023-10-29 22:06:11.707000+00:00
9181,22,13,2023-10-29 22:06:11.707000+00:00
9181,27,13,2023-10-29 22:06:11.754000+00:00
